sample_ID,country,field_pair,carbon_intensity,treatment,pH ,WC,VWC,total N,total C,organic C,inorganic C ,PO4_P,total P,soil_respiration,Nmin,total_sand,total_silt,total_clay,WHC,BD ,root DW,crop biomass,plant height
DE1_T2,DE,1,H,C,8.18,20.19,18.98,0.25,2.53,2.25,0.29,0.002,0.9,1.5,9.65,14.63,50.28,35.09,32.3,0.94,435.67,11.4,96.5
DE2_T2,DE,1,H,R,8.09,15.32,14.25,0.26,2.68,2.34,0.34,0.002,1.04,1.18,6.02,14.63,50.28,35.09,33.55,0.93,457.32,14.1,94.25
DE3_T2,DE,1,H,RC,8.14,19.24,19.05,0.25,2.62,2.32,0.3,0.002,0.89,1.35,10.26,14.63,50.28,35.09,35.57,0.99,323.57,13.3,96.5
DE4_T2,DE,1,L,C,7.96,13.48,12.67,0.13,1.36,1.28,0.09,0.004,0.9,0.77,21.79,34.04,45.02,20.95,39.55,0.94,377.07,14,104.75
DE5_T2,DE,1,L,R,8.04,9.3,9.77,0.14,1.37,1.28,0.09,0.003,0.79,0.54,62.41,34.04,45.02,20.95,36.83,1.05,326.11,15.2,86.25
DE6_T2,DE,1,L,RC,7.96,14.96,14.36,0.14,1.43,1.31,0.12,0.004,0.86,0.73,29.51,34.04,45.02,20.95,37.32,0.96,252.23,11.9,85
DE7_T2,DE,2,H,C,8.36,16.39,15.73,0.23,3.51,2.1,1.41,0.001,0.84,1.84,10.02,13.55,55.69,30.76,35.36,0.96,371.97,8.1,101.75
DE8_T2,DE,2,H,R,8.32,12.14,12.38,0.23,3.77,2.11,1.66,0.001,0.75,1.36,8.14,13.55,55.69,30.76,34.14,1.02,224.2,7.6,88.75
DE9_T2,DE,2,H,RC,8.38,17.59,15.66,0.23,3.63,1.93,1.7,0.001,0.77,1.57,9.36,13.55,55.69,30.76,37.1,0.89,323.57,5.5,95
DE10_T2,DE,2,L,C,8.22,15.01,15.61,0.2,4.07,1.87,2.2,0.001,1,1.5,8.04,11.98,52.81,35.21,34.45,1.04,249.68,8.7,59.5
DE11_T2,DE,2,L,R,8.31,10.78,11.32,0.19,5.19,1.94,3.26,0.001,1.02,1.21,6.63,11.98,52.81,35.21,32.76,1.05,335.03,9.3,76.5
DE12_T2,DE,2,L,RC,8.22,17.23,16.71,0.21,3.57,2.24,1.33,0.001,0.94,1.74,6.37,11.98,52.81,35.21,35.75,0.97,166.88,5.6,59.25
DE13_T2,DE,3,H,C,7.64,18.88,20.39,0.16,1.6,1.55,0.05,0.001,0.78,0.89,6.94,22.11,53.07,24.82,37.51,1.08,298.09,7.9,87
DE14_T2,DE,3,H,R,7.15,12.43,13.67,0.16,1.54,1.48,0.06,0.001,0.78,0.67,5.15,22.11,53.07,24.82,42.66,1.1,219.11,9,80.5
DE15_T2,DE,3,H,RC,7.75,17.85,19.28,0.16,1.56,1.5,0.06,0.001,0.8,0.83,9.11,22.11,53.07,24.82,35.1,1.08,434.39,7.5,81
DE16_T2,DE,3,L,C,7.23,18.52,20.56,0.15,1.49,1.44,0.05,0.001,0.85,0.94,4.5,17.9,56.69,25.41,26.99,1.11,639.49,11.5,94.25
DE17_T2,DE,3,L,R,7.25,13.67,15.58,0.16,1.62,1.58,0.05,0.002,0.89,0.8,10.69,17.9,56.69,25.41,29.71,1.14,322.29,11.9,80.25
DE18_T2,DE,3,L,RC,7.26,17.85,18.39,0.16,1.55,1.51,0.05,0.001,0.88,0.86,6.89,17.9,56.69,25.41,28.23,1.03,240.76,8,85.75
DE19_T2,DE,4,H,C,8.23,15.54,15.85,0.17,2.26,1.5,0.77,0.001,0.9,1.51,10.36,18.87,57.23,23.9,43.01,1.02,272.61,9.8,83.25
DE20_T2,DE,4,H,R,8.17,11.17,11.17,0.18,2.36,1.52,0.84,0.001,0.89,1.05,7.28,18.87,57.23,23.9,39.24,1,208.92,13,91.75
DE21_T2,DE,4,H,RC,8.13,15.48,15.94,0.17,2.55,1.5,1.06,0.002,0.9,1.15,9.32,18.87,57.23,23.9,39.65,1.03,278.98,12,85.75
DE22_T2,DE,4,L,C,8.08,13.74,12.5,0.17,1.62,1.47,0.15,0.002,0.87,0.9,4.29,33.26,41.46,25.29,33.3,0.91,507.01,10.1,72.25
DE23_T2,DE,4,L,R,8.08,10.2,9.89,0.16,1.52,1.38,0.14,0.002,0.78,0.6,7.17,33.26,41.46,25.29,36.35,0.97,307.01,10.5,58.25
DE24_T2,DE,4,L,RC,8.01,14.59,13.28,0.17,1.72,1.5,0.22,0.002,0.8,1,6.38,33.26,41.46,25.29,32.14,0.91,419.11,14.1,81.75
DE25_T2,DE,5,H,C,6.85,9.6,8.93,0.15,1.59,1.54,0.05,0.002,1.06,0.47,6.89,19.83,59.79,20.38,41.45,0.93,463.69,15,95.5
DE26_T2,DE,5,H,R,6.79,5.98,5.44,0.15,1.58,1.53,0.05,0.002,1.05,0.29,4.01,19.83,59.79,20.38,35.1,0.91,315.92,12.3,88.5
DE27_T2,DE,5,H,RC,6.83,11,10.89,0.15,1.61,1.57,0.04,0.002,1.14,0.43,7.42,19.83,59.79,20.38,37.24,0.99,434.39,13.7,95.25
DE28_T2,DE,5,L,C,8.08,8.39,7.89,0.15,1.54,1.39,0.15,0.003,1.2,0.71,3.42,28.85,49.6,21.56,37.85,0.94,419.11,12.9,94.75
DE29_T2,DE,5,L,R,8.07,6.49,5.84,0.14,1.41,1.28,0.13,0.003,1.07,0.47,3.72,28.85,49.6,21.56,37.34,0.9,355.41,11.9,94.5
DE30_T2,DE,5,L,RC,7.99,7.55,6.72,0.16,1.55,1.43,0.12,0.004,1.49,0.61,3.35,28.85,49.6,21.56,37.23,0.89,504.46,14.9,99.5
ES1_T2,ES,1,H,C,8.77,7.56,12.93,0.06,1.35,0.62,0.73,0.001,0.31,0.47,0.88,50.14,28.44,21.42,21.91,1.71,142.71,2.3,42.88
ES2_T2,ES,1,H,R,8.71,9.91,16.95,0.06,1.2,0.64,0.56,0.001,0.33,0.5,0.91,50.14,28.44,21.42,21.39,1.71,29.24,2.8,36.88
ES3_T2,ES,1,H,RC,8.51,8.47,15.42,0.07,1.56,0.72,0.84,0.001,0.32,0.55,1.87,50.14,28.44,21.42,17.67,1.82,54.7,1.8,34
ES4_T2,ES,1,L,C,7.55,8.81,15.86,0.05,0.36,0.35,0.01,0.001,0.13,0.17,1.08,38.62,20.67,40.71,17.19,1.8,22.08,0.7,25.2
ES5_T2,ES,1,L,R,8.6,10.18,15.58,0.06,1.25,0.51,0.74,0.001,0.17,0.58,1.55,38.62,20.67,40.71,27.35,1.53,15.18,1.1,27.38
ES6_T2,ES,1,L,RC,8.19,12.18,21.68,0.06,0.44,0.42,0.02,0.001,0.12,0.25,3.29,38.62,20.67,40.71,18.33,1.78,26.48,0.4,29.13
ES7_T2,ES,2,H,C,8.47,12.35,20.25,0.06,0.52,0.5,0.02,0.001,0.14,0.5,2.21,38.93,18.62,42.45,23.01,1.64,29.3,0.4,24.25
ES8_T2,ES,2,H,R,8.29,14.62,22.66,0.07,0.52,0.5,0.02,0.001,0.14,0.35,2.91,38.93,18.62,42.45,25.85,1.55,21.02,2.1,30.33
ES9_T2,ES,2,H,RC,8.3,11.86,19.92,0.06,0.42,0.4,0.02,0.001,0.11,0.18,2.34,38.93,18.62,42.45,20.59,1.68,60.52,0.3,31.13
ES10_T2,ES,2,L,C,8.27,13.79,24.27,0.05,0.31,0.3,0.02,0.001,0.1,0.24,2.02,42.48,17.41,40.12,18.7,1.76,22.45,0.4,23.75
ES11_T2,ES,2,L,R,8.26,11.73,18.77,0.05,0.4,0.38,0.02,0.001,0.14,0.46,0.93,42.48,17.41,40.12,17.97,1.6,34.29,4.7,47.28
ES12_T2,ES,2,L,RC,8.4,8.69,12.95,0.06,0.36,0.33,0.04,0.001,0.1,0.29,1.25,42.48,17.41,40.12,25.53,1.49,11.13,0.3,30.98
ES13_T2,ES,3,H,C,8.66,7.02,10.95,0.05,8.19,1.91,6.28,0.001,0.32,0.38,1.05,51.97,29.22,18.81,26.12,1.56,60.22,2.5,41.88
ES14_T2,ES,3,H,R,8.68,8.31,12.47,0.05,8.95,0.16,8.79,0.001,0.27,0.31,1.78,51.97,29.22,18.81,27.84,1.5,41.64,0.8,27.53
ES15_T2,ES,3,H,RC,8.6,7.42,12.17,0.04,9.03,0.52,8.51,0.001,0.3,0.31,0.79,51.97,29.22,18.81,22.4,1.64,51.72,0.7,18.75
ES16_T2,ES,3,L,C,8.96,7.82,11.96,0.02,8.44,0.32,8.12,0.001,0.22,0.25,1.06,56.16,24.52,19.33,25.08,1.53,17.8,0.2,14.78
ES17_T2,ES,3,L,R,8.68,7.58,11.6,0.04,7.34,0.55,6.79,0.001,0.29,0.44,1.59,56.16,24.52,19.33,27,1.53,34.62,1.6,43.13
ES18_T2,ES,3,L,RC,8.75,8.97,13.9,0.03,8.11,0.48,7.64,0.001,0.23,0.39,0.76,56.16,24.52,19.33,26.15,1.55,26.23,0.7,29.53
ES19_T2,ES,4,H,C,8.59,7.78,11.2,0.04,7.09,0.65,6.45,0.001,0.36,0.47,1.11,48.9,33.15,17.95,31.73,1.44,42.48,2.3,39.33
ES20_T2,ES,4,H,R,8.73,7.77,10.57,0.04,7.45,0.8,6.65,0.001,0.32,0.42,1.41,48.9,33.15,17.95,33.86,1.36,38.27,2.5,43.38
ES21_T2,ES,4,H,RC,8.57,8.28,11.18,0.06,6.73,0.67,6.06,0.001,0.41,0.5,1.2,48.9,33.15,17.95,35.89,1.35,52.19,2.1,43.6
ES22_T2,ES,4,L,C,8.7,10.04,15.16,0.04,7.71,0.57,7.15,0.001,0.29,0.44,2.01,46.39,32.23,21.38,28.38,1.51,36.17,0.8,28.83
ES23_T2,ES,4,L,R,8.61,8.49,11.55,0.04,7.88,0.35,7.53,0.001,0.29,0.42,1.65,46.39,32.23,21.38,35.62,1.36,42.1,0.9,31.18
ES24_T2,ES,4,L,RC,8.52,8.41,12.53,0.04,7.57,0.76,6.81,0.001,0.33,0.49,1.47,46.39,32.23,21.38,30.54,1.49,42.78,2.2,43.68
ES25_T2,ES,5,H,C,8.65,8.62,11.03,0.03,6.94,1.14,5.8,0.001,0.39,0.5,1.07,41.82,35.75,22.43,38.52,1.28,91.26,3,35.5
ES26_T2,ES,5,H,R,8.67,9.14,12.89,0.04,7.8,0.91,6.89,0.001,0.39,0.45,3.74,41.82,35.75,22.43,32.25,1.41,70.57,0.7,26.55
ES27_T2,ES,5,H,RC,8.62,11.06,14.93,0.03,7.07,0.97,6.1,0.001,0.45,0.5,2.08,41.82,35.75,22.43,34.63,1.35,64.66,1.5,39.83
ES28_T2,ES,5,L,C,8.93,10.78,14.88,0.06,8.5,0.67,7.83,0.001,0.18,0.35,1.84,60.57,23.8,15.62,32.79,1.38,24.18,0.4,14.1
ES29_T2,ES,5,L,R,8.64,7.93,10.86,0.05,9.21,0.78,8.43,0.001,0.27,0.33,2.75,60.57,23.8,15.62,32.24,1.37,85.07,0.7,27.75
ES30_T2,ES,5,L,RC,8.72,7.66,11.18,0.06,8.82,0.79,8.03,0.001,0.21,0.36,1.99,60.57,23.8,15.62,28.51,1.46,22.04,0.5,19.88
SE1_T2,SE,1,H,C,6.49,8.41,12.03,0.21,2.03,1.96,0.07,0.001,0.61,0.3,45.85,54.11,21.29,24.59,29.11,1.43,435.67,8.2,40.38
SE2_T2,SE,1,H,R,6.54,7.51,10.75,0.23,2.3,2.24,0.06,0.001,0.74,0.31,63.32,54.11,21.29,24.59,29.11,1.43,457.32,10.4,63
SE3_T2,SE,1,H,RC,6.72,5.83,8.34,0.2,2.04,2.03,0,0.001,0.63,0.2,31.65,54.11,21.29,24.59,29.11,1.43,323.57,10.6,45.88
SE4_T2,SE,1,L,C,7.05,7.14,10.46,0.15,1.42,1.4,0.02,0.001,0.65,0.3,54.51,52,23.75,24.25,21.13,1.46,377.07,13.6,45.38
SE5_T2,SE,1,L,R,6.99,5.03,7.37,0.15,1.47,1.45,0.02,0.002,0.63,0.21,56.91,52,23.75,24.25,21.13,1.46,326.11,12.7,44.63
SE6_T2,SE,1,L,RC,6.9,6.5,9.52,0.16,1.5,1.46,0.04,0.002,0.64,0.21,27.73,52,23.75,24.25,21.13,1.46,252.23,6.9,29.63
SE7_T2,SE,2,H,C,5.8,11.09,14.97,0.23,2.34,2.33,0.01,0.001,1.25,0.37,48.59,55.34,27.11,17.56,33.09,1.35,371.97,7.8,54.75
SE8_T2,SE,2,H,R,5.99,6.33,8.54,0.2,2.17,2.16,0.01,0.001,0.85,0.33,20.78,55.34,27.11,17.56,33.09,1.35,224.2,5.9,56.25
SE9_T2,SE,2,H,RC,6.19,7.28,9.82,0.24,2.31,2.3,0.01,0.001,1.18,0.35,48.46,55.34,27.11,17.56,33.09,1.35,323.57,10.2,58.75
SE10_T2,SE,2,L,C,6.24,8.83,11.53,0.17,1.72,1.71,0.02,0.001,0.88,0.44,24.26,56.38,27.78,15.84,34.67,1.31,249.68,9,54
SE11_T2,SE,2,L,R,5.95,4.94,6.45,0.17,1.73,1.72,0.01,0.001,0.81,0.27,31.85,56.38,27.78,15.84,34.67,1.31,335.03,8.9,59.75
SE12_T2,SE,2,L,RC,6.13,6.35,8.29,0.18,1.83,1.82,0.01,0.001,0.83,0.31,32.26,56.38,27.78,15.84,34.67,1.31,166.88,9.2,62.13
SE13_T2,SE,3,H,C,7.87,9.59,12.91,0.25,3.07,2.52,0.55,0.001,0.88,0.87,16.43,47.23,41.32,11.45,33.68,1.35,298.09,11,51
SE14_T2,SE,3,H,R,7.79,10.58,14.24,0.41,5.71,4.22,1.49,0.001,1.08,1.04,10.96,47.23,41.32,11.45,33.68,1.35,219.11,8.6,49.5
SE15_T2,SE,3,H,RC,7.64,10.79,14.52,0.34,4.57,3.46,1.11,0.001,1.04,1.03,26.84,47.23,41.32,11.45,33.68,1.35,434.39,11.8,65.75
SE16_T2,SE,3,L,C,7.41,8.13,13.15,0.15,1.46,1.39,0.07,0.001,0.58,0.37,5.27,56.88,18.71,24.41,22.69,1.62,639.49,11.9,50.75
SE17_T2,SE,3,L,R,7.38,5.78,9.35,0.16,1.47,1.45,0.02,0.001,0.61,0.25,4.86,56.88,18.71,24.41,22.69,1.62,322.29,7.8,42
SE18_T2,SE,3,L,RC,7.33,6.68,10.8,0.15,1.43,1.4,0.02,0.001,0.72,0.26,7.08,56.88,18.71,24.41,22.69,1.62,240.76,9.9,56.25
SE19_T2,SE,4,H,C,7.05,12.01,14.46,0.23,2.62,2.58,0.04,0.001,0.79,0.72,28.07,71.95,14.72,13.34,39.79,1.2,272.61,9.7,52
SE20_T2,SE,4,H,R,7.06,6.34,7.63,0.22,2.63,2.6,0.04,0.001,0.74,0.43,28.71,71.95,14.72,13.34,39.79,1.2,208.92,10.5,54.38
SE21_T2,SE,4,H,RC,7.15,7.88,9.49,0.21,2.59,2.55,0.04,0.001,0.84,0.64,8.75,71.95,14.72,13.34,39.79,1.2,278.98,6.7,57.25
SE22_T2,SE,4,L,C,7.22,11.64,14.13,0.19,2.06,2.02,0.04,0.002,1.1,0.91,15.58,59.51,21.82,18.67,36.74,1.21,507.01,9.3,64.13
SE23_T2,SE,4,L,R,7.23,5.77,7,0.2,2.09,2.03,0.06,0.002,1.09,0.45,21.88,59.51,21.82,18.67,36.74,1.21,307.01,8.6,52.63
SE24_T2,SE,4,L,RC,7.2,8.06,9.78,0.17,1.89,1.84,0.05,0.002,1.1,0.74,18.63,59.51,21.82,18.67,36.74,1.21,419.11,8.6,54
SE25_T2,SE,5,H,C,7.52,10.59,13.71,0.21,2.14,2.11,0.02,0.001,0.83,0.52,106.32,9.18,46.77,44.05,37.87,1.29,463.69,3.1,10.75
SE26_T2,SE,5,H,R,6.62,10.24,13.26,0.21,2.05,2.03,0.02,0.001,0.67,0.39,47.46,9.18,46.77,44.05,37.87,1.29,315.92,6.3,41.5
SE27_T2,SE,5,H,RC,6.29,12.04,15.59,0.18,1.88,1.71,0.16,0.001,0.52,1.19,21.07,9.18,46.77,44.05,37.87,1.29,434.39,9.9,52
SE28_T2,SE,5,L,C,6.22,6.14,7.4,0.13,1.33,1.32,0.01,0.001,0.6,0.49,28.15,58.56,25.88,15.56,38.91,1.2,419.11,10.4,57.75
SE29_T2,SE,5,L,R,6.13,5.17,6.23,0.13,1.36,1.34,0.02,0.002,0.64,0.4,66.31,58.56,25.88,15.56,38.91,1.2,355.41,10,55.75
SE30_T2,SE,5,L,RC,6.39,5.52,6.65,0.14,1.46,1.45,0.01,0.001,0.63,0.34,31.87,58.56,25.88,15.56,38.91,1.2,504.46,9.5,55
